name,code,sectors,products
JW홀딩스,096760,기타 금융업,의약품 수출입업
KB금융,105560,기타 금융업,-
SG충방,001380,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매"
SKC,011790,기타 화학제품 제조업,"폴리에스테르필름,합성수지,LCD용 필름 제조"
금강공업,014280,1차 철강 제조업,"건설가설재,강관,거푸집 제조,판매"
금호산업,002990,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양"
금호전기,001210,전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매"
기업은행,024110,은행 및 저축기관,은행업
남선알미늄,008350,1차 비철금속 제조업,알미늄샷시 제조/환경사업
남성,004270,기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대"
